DECISION_DATE,CASE_STATUS,CLASS_OF_ADMISSION
11/10/10,Certified-Expired,H-1B
11/26/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
11/30/10,Denied,H-1B
11/1/10,Certified-Expired,H-1B
6/30/11,Certified,H-1B
12/29/10,Certified-Expired,H-1B
12/21/10,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
10/5/10,Withdrawn,H-1B
12/1/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
12/10/10,Certified-Expired,H-1B
10/29/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
2/7/11,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
11/19/10,Denied,H-1B
12/13/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
10/26/10,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
8/18/11,Certified,H-1B
11/2/10,Certified-Expired,H-1B
10/21/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
12/14/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/3/10,Denied,H-1B
11/15/10,Certified-Expired,H-1B
7/15/11,Certified,H-1B
11/26/10,Certified-Expired,H-1B
1/7/11,Certified-Expired,H-1B
10/13/10,Certified-Expired,H-1B
10/29/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
10/8/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
1/3/11,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
12/20/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
12/7/10,Certified-Expired,H-1B
6/15/11,Certified,H-1B
11/24/10,Certified-Expired,H-1B
6/15/11,Certified,H-1B
11/1/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
6/27/11,Denied,H-1B
2/11/11,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
2/28/11,Certified-Expired,H-1B
11/26/10,Certified-Expired,H-1B
12/1/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
11/8/10,Certified-Expired,H-1B
12/20/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
12/7/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
10/27/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
10/19/10,Withdrawn,H-1B
12/2/10,Certified-Expired,H-1B
12/13/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
12/1/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
11/26/10,Certified-Expired,H-1B
10/13/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
12/30/10,Certified-Expired,H-1B
12/13/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
12/9/10,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
10/27/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
12/9/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
12/20/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
2/1/11,Withdrawn,H-1B
12/8/10,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
12/20/10,Certified-Expired,H-1B
10/13/10,Certified-Expired,H-1B
6/14/11,Certified,H-1B
12/7/10,Certified-Expired,H-1B
11/19/10,Denied,H-1B
1/31/11,Certified-Expired,H-1B
12/20/10,Certified-Expired,H-1B
12/27/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
12/14/10,Certified-Expired,H-1B
2/16/11,Withdrawn,H-1B
12/3/10,Certified-Expired,H-1B
1/5/11,Certified-Expired,H-1B
10/13/10,Certified-Expired,H-1B
11/24/10,Withdrawn,H-1B
12/6/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
12/14/10,Certified-Expired,H-1B
10/21/10,Certified-Expired,H-1B
12/1/10,Certified-Expired,H-1B
6/14/11,Certified,H-1B
3/4/11,Withdrawn,H-1B
11/12/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
12/6/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
12/10/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
12/13/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
1/18/11,Certified-Expired,H-1B
7/7/11,Certified,H-1B
1/18/11,Certified-Expired,H-1B
6/24/11,Certified,H-1B
11/23/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
8/10/11,Certified,H-1B
11/15/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
3/9/11,Certified-Expired,H-1B
1/6/11,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
3/8/11,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
4/27/11,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
1/26/11,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
12/20/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
6/24/11,Certified,H-1B
11/16/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
11/9/10,Withdrawn,H-1B
12/9/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
4/29/11,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
12/6/10,Certified-Expired,H-1B
12/16/10,Certified-Expired,H-1B
12/3/10,Denied,H-1B
10/29/10,Certified-Expired,H-1B
12/15/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/1/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
1/20/11,Certified-Expired,H-1B
11/8/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
11/1/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
12/10/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
6/15/11,Withdrawn,H-1B
12/23/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
1/5/11,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
6/7/11,Denied,H-1B
12/10/10,Certified-Expired,H-1B
2/3/11,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
6/7/11,Certified,H-1B
12/17/10,Certified-Expired,H-1B
10/13/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
10/29/10,Certified-Expired,H-1B
10/21/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
1/6/11,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
4/26/11,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
10/21/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
6/14/11,Denied,H-1B
11/3/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/26/10,Certified-Expired,H-1B
10/13/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
12/6/10,Certified-Expired,H-1B
1/4/11,Certified-Expired,H-1B
7/12/11,Certified,H-1B
11/5/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
11/8/10,Certified-Expired,H-1B
4/27/11,Withdrawn,H-1B
11/12/10,Certified-Expired,H-1B
12/14/10,Withdrawn,H-1B
12/14/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
6/8/11,Certified,H-1B
12/17/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
12/13/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
11/29/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
1/6/11,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
12/1/10,Certified-Expired,H-1B
12/20/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
12/1/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
10/29/10,Certified-Expired,H-1B
10/26/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
11/29/10,Certified-Expired,H-1B
10/13/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
10/28/10,Denied,H-1B
11/16/10,Certified-Expired,H-1B
10/7/10,Withdrawn,H-1B
1/20/11,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
12/6/10,Certified-Expired,H-1B
6/7/11,Certified,H-1B
12/2/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
11/26/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
12/21/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/9/10,Denied,H-1B
10/13/10,Certified-Expired,H-1B
12/9/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
10/19/10,Withdrawn,H-1B
1/5/11,Denied,H-1B
11/12/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
11/29/10,Certified-Expired,H-1B
6/8/11,Denied,H-1B
11/22/10,Certified-Expired,H-1B
6/24/11,Certified,H-1B
12/10/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
10/13/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
11/26/10,Certified-Expired,H-1B
12/13/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
11/8/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
11/29/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/1/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
12/10/10,Certified-Expired,H-1B
12/6/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
2/7/11,Certified-Expired,H-1B
10/29/10,Certified-Expired,H-1B
6/9/11,Certified,H-1B
11/10/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
12/29/10,Certified-Expired,H-1B
6/7/11,Certified,H-1B
12/8/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
12/14/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
12/28/10,Certified-Expired,H-1B
12/1/10,Denied,H-1B
11/4/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
2/4/11,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
12/6/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
1/28/11,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
11/8/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
12/17/10,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
1/31/11,Certified-Expired,H-1B
1/20/11,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
12/6/10,Certified-Expired,H-1B
1/20/11,Withdrawn,H-1B
6/30/11,Certified,H-1B
10/27/10,Withdrawn,H-1B
1/19/11,Certified-Expired,H-1B
12/1/10,Certified-Expired,H-1B
11/26/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
12/20/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
11/29/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
12/15/10,Denied,H-1B
11/4/10,Certified-Expired,H-1B
1/19/11,Certified-Expired,H-1B
12/16/10,Certified-Expired,H-1B
12/28/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
12/16/10,Certified-Expired,H-1B
2/1/11,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
12/29/10,Certified-Expired,H-1B
12/14/10,Certified-Expired,H-1B
12/27/10,Certified-Expired,H-1B
12/7/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
12/17/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
12/21/10,Certified-Expired,H-1B
12/7/10,Certified-Expired,H-1B
10/29/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
12/14/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
11/29/10,Certified-Expired,H-1B
11/1/10,Certified-Expired,H-1B
12/13/10,Withdrawn,H-1B
11/22/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
2/1/11,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
11/29/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
12/14/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
12/14/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
6/15/11,Certified,H-1B
12/9/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
1/3/11,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/26/10,Certified-Expired,H-1B
5/11/11,Withdrawn,H-1B
12/1/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
6/9/11,Certified,H-1B
12/3/10,Certified-Expired,H-1B
12/9/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
6/9/11,Certified,H-1B
11/30/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
4/8/11,Denied,H-1B
11/30/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
6/15/11,Certified,H-1B
12/23/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
4/25/11,Withdrawn,H-1B
5/16/11,Withdrawn,H-1B
11/16/10,Certified-Expired,H-1B
12/6/10,Certified-Expired,H-1B
12/17/10,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
1/3/11,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
2/25/11,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/9/10,Withdrawn,H-1B
11/30/10,Certified-Expired,H-1B
12/9/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
1/21/11,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
12/6/10,Certified-Expired,H-1B
1/20/11,Certified-Expired,H-1B
7/1/11,Certified,H-1B
11/4/10,Denied,H-1B
12/7/10,Certified-Expired,H-1B
1/5/11,Certified-Expired,H-1B
10/13/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
12/9/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
1/4/11,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/2/10,Denied,H-1B
11/2/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
12/16/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
12/20/10,Certified-Expired,H-1B
11/10/10,Withdrawn,H-1B
11/4/10,Certified-Expired,H-1B
11/8/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
6/9/11,Certified,H-1B
11/15/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
12/14/10,Certified-Expired,H-1B
12/14/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
11/26/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
10/14/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/29/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
2/18/11,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
1/18/11,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
2/9/11,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
12/9/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
1/26/11,Certified-Expired,H-1B
12/30/10,Certified-Expired,H-1B
12/9/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/15/10,Denied,H-1B
11/19/10,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
12/14/10,Certified-Expired,H-1B
12/7/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
12/10/10,Certified-Expired,H-1B
12/2/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
1/25/11,Certified-Expired,H-1B
10/18/10,Withdrawn,H-1B
11/12/10,Certified-Expired,H-1B
10/28/10,Certified-Expired,H-1B
2/3/11,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
11/17/10,Certified-Expired,H-1B
10/29/10,Certified-Expired,H-1B
11/22/10,Denied,H-1B
11/17/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/18/10,Certified-Expired,H-1B
11/19/10,Certified-Expired,H-1B
12/28/10,Certified-Expired,H-1B
11/16/10,Certified-Expired,H-1B
11/30/10,Certified-Expired,H-1B
12/6/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
10/29/10,Certified-Expired,H-1B
11/26/10,Certified-Expired,H-1B
12/7/10,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
1/6/11,Certified-Expired,H-1B
11/23/10,Certified-Expired,H-1B
10/13/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
6/20/11,Denied,H-1B
11/22/10,Certified-Expired,H-1B
8/10/11,Withdrawn,H-1B
12/21/10,Certified-Expired,H-1B
12/10/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
11/29/10,Certified-Expired,H-1B
11/12/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
1/7/11,Withdrawn,H-1B
11/26/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
12/13/10,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
11/10/10,Certified-Expired,H-1B
11/3/10,Certified-Expired,H-1B
12/15/10,Certified-Expired,H-1B
11/5/10,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
12/10/10,Certified-Expired,H-1B
11/15/10,Certified-Expired,H-1B
12/7/10,Certified-Expired,H-1B
12/3/10,Certified-Expired,H-1B
12/6/10,Certified-Expired,H-1B
12/21/10,Certified-Expired,H-1B
11/2/10,Certified-Expired,H-1B
11/22/10,Certified-Expired,H-1B
1/26/11,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
11/22/10,Denied,H-1B
11/10/10,Certified-Expired,H-1B
11/24/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
11/29/10,Certified-Expired,H-1B
6/9/11,Certified,H-1B
12/14/10,Certified-Expired,H-1B
11/4/10,Certified-Expired,H-1B
11/9/10,Certified-Expired,H-1B
12/8/10,Certified-Expired,H-1B
